hotspot_id,latitude,longitude,h3_cell,timestamp,year,month,day_of_year,day_of_week,hour,minute,is_night,hour_sin,hour_cos,month_sin,month_cos,bright_ti4,bright_ti5,frp,confidence_encoded,scan,track,log_frp,thermal_difference,observation_count_7d,observation_count_30d,observation_count_90d,active_days_7d,active_days_30d,active_days_90d,mean_frp_7d,mean_frp_30d,mean_frp_90d,median_frp_30d,std_frp_30d,max_frp_30d,max_frp_90d,days_since_first_seen,days_since_previous_detection,has_history_7d,has_history_30d,has_history_90d,frp_deviation,frp_ratio_to_baseline,frp_z_score,industrial_context_score,mining_context_score,industrial_polygon_overlap,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,distance_to_seed_facility_m,nearest_facility_type_encoded,type,daynight,target_class,label_source,label_confidence
EVENT_01693425,19.02028,72.89065,87608b198ffffff,2024-11-11 21:30:00,2024,11,316,0,21,30,1,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,306.67,294.52,1.35,1,0.52,0.67,0.8544153281560676,12.150000000000034,2.0,2.0,2.0,2.0,2.0,2.0,1.605,1.605,1.605,1.605,0.034999999999997276,1.64,1.64,1019.0472222222222,2.0430555555555556,1,1,1,-0.2549999999999999,0.8411214953271029,-7.28571428571485,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01699202,18.71118,78.72447,8760b3952ffffff,2024-11-15 07:44:00,2024,11,320,4,7,44,0,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,334.74,302.24,3.28,1,0.45,0.39,1.4539530095937052,32.5,1.0,1.0,1.0,1.0,1.0,1.0,2.19,2.19,2.19,2.19,0.0,2.19,2.19,903.0284722222223,0.0,1,1,1,1.0899999999999999,1.4977168949771689,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00606550,23.76637,86.39355,873ca9c95ffffff,2022-12-31 19:43:00,2022,12,365,5,19,43,1,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,315.92,294.65,1.31,1,0.44,0.38,0.8372475245337022,21.27000000000004,38.0,188.0,461.0,7.0,29.0,82.0,2.5097368421052635,2.46968085106383,2.4887418655097613,1.91,1.5032234528531625,8.44,9.49,364.50208333333336,0.5194444444444445,1,1,1,-1.15968085106383,0.5304329097566228,-0.771462718242402,0.25,0.6,False,True,False,False,,0,2,N,non_industrial_thermal_activity,FIRMS_type2+OSM_mining_context,0.8
EVENT_00011642,23.7704,86.39414,873ca9c86ffffff,2022-01-19 19:30:00,2022,1,19,2,19,30,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,305.23,288.03,1.31,1,0.43,0.46,0.8372475245337022,17.200000000000045,27.0,86.0,86.0,5.0,13.0,13.0,2.9196296296296294,2.731744186046512,2.731744186046512,2.1950000000000003,1.824428035163199,10.73,10.73,18.493055555555557,0.0,1,1,1,-1.4217441860465119,0.4795470991359128,-0.7792821413859351,0.25,0.6,False,True,False,False,,0,2,N,non_industrial_thermal_activity,FIRMS_type2+OSM_mining_context,0.8
EVENT_00036968,23.69837,84.99654,873caea65ffffff,2022-02-15 19:24:00,2022,2,46,1,19,24,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,296.7,282.75,0.34,1,0.33,0.55,0.29266961396282,13.949999999999989,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0,0,0,,,,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01277696,9.71991,77.9595,876035ca1ffffff,2024-03-04 08:09:00,2024,3,64,0,8,9,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,344.21,311.91,6.16,1,0.39,0.36,1.9685099809725544,32.299999999999955,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,736.0006944444444,351.0131944444444,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01116757,30.02335,74.79595,87424b833ffffff,2023-11-06 08:46:00,2023,11,310,0,8,46,0,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,338.18,297.39,2.42,1,0.36,0.57,1.2296405510745139,40.79000000000002,2.0,2.0,2.0,1.0,1.0,1.0,5.095,5.095,5.095,5.095,2.7750000000000004,7.87,7.87,371.03055555555557,2.04375,1,1,1,-2.675,0.47497546614327774,-0.9639639639639638,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00820777,23.68085,86.09595,873ca8300ffffff,2023-03-15 19:56:00,2023,3,74,2,19,56,1,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,312.65,292.36,2.36,1,0.38,0.36,1.2119409739751128,20.289999999999964,43.0,170.0,532.0,7.0,30.0,87.0,2.1532558139534883,2.3458823529411768,2.2821616541353382,2.08,1.3977286567584832,10.04,14.17,438.5111111111111,0.0,1,1,1,0.014117647058823124,1.0060180541624872,0.01010042041462025,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_01078869,21.18171,81.38723,873cb0371ffffff,2023-10-13 20:22:00,2023,10,286,4,20,22,1,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,314.83,297.73,2.02,1,0.42,0.38,1.1052568313867783,17.099999999999966,10.0,16.0,30.0,4.0,8.0,16.0,2.0309999999999997,1.8475,1.6866666666666668,1.905,0.8897436428545019,4.35,4.35,650.5298611111111,3.0305555555555554,1,1,1,0.1725000000000001,1.0933694181326117,0.19387606911871882,0.0,0.0,False,False,False,False,,1,3,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01260886,23.77941,86.38319,873ca9cb3ffffff,2024-02-22 19:06:00,2024,2,53,3,19,6,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,299.83,285.65,1.48,1,0.53,0.67,0.9082585601768908,14.180000000000007,35.0,141.0,490.0,7.0,25.0,76.0,2.3934285714285712,2.137163120567376,2.086591836734694,1.96,1.0685413443556384,6.16,9.92,781.9576388888889,0.9868055555555556,1,1,1,-0.6571631205673758,0.6925068029468375,-0.615009539910376,0.25,0.6,False,True,False,False,,0,2,N,non_industrial_thermal_activity,FIRMS_type2+OSM_mining_context,0.8
