case_id,case_type,latitude,longitude,lat_bin,lon_bin,n,active_days,mean_frp,median_frp,max_frp,2022,2023,2024,base_monthly,cur_monthly,count_ratio,p95_ratio,spike_score,osm_elements_found,industrial_polygons_found,industrial_polygon_overlap,nearby_facilities_found,nearest_facility,nearest_facility_type,nearest_facility_latitude,nearest_facility_longitude,nearest_facility_distance_m,industrial_context_score,industrial_context_level,context_evidence,osm_source
CASE_01,persistent,23.77988,86.38999,23.78,86.39,3821.0,813.0,2.926445956555876,2.28,18.53,1140.0,1330.0,1351.0,102.91666666666669,112.58333333333331,1.0938359488755864,1.224859576010147,0.5909719329222378,4,0,False,4,Unnamed facility,mining,23.7762375,86.4022323,1309.92,0.25,low,Industrial facility within 1.5 km | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_02,persistent,21.92001,83.35004,21.92,83.35,2724.0,796.0,3.6162555066079296,3.08,17.39,923.0,969.0,832.0,78.83333333333333,69.33333333333333,0.8796452702702703,0.8865877100514665,0.40059244629953,3,0,False,1,Raigarh Jindal power station,power_plant,21.9255743,83.3450304,806.14,0.25,low,Industrial facility within 1.5 km | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_03,persistent,20.96012,85.17001,20.96,85.17,2269.0,739.0,3.303129131776113,2.72,20.43,832.0,928.0,509.0,73.33333333333333,42.41666666666666,0.5789832047208353,0.9074394191784269,0.2949717498779184,3,0,False,3,Lingaraj Coal Mine,quarry_mining,20.9619004,85.1803922,1096.08,0.25,low,Industrial facility within 1.5 km | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_04,persistent,23.17003,82.34002,23.17,82.34,1974.0,742.0,2.5618642350557246,2.08,12.98,790.0,458.0,726.0,52.0,60.5,1.163147792706334,1.2168697107783877,0.6142395140827955,1,0,False,1,Chirimiri Coal Mine,quarry_mining,23.1741356,82.339611,458.43,0.35,low,Industrial facility within 750 m | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_05,persistent,22.79002,86.20011,22.79,86.2,1708.0,692.0,2.6574590163934424,2.14,17.31,622.0,574.0,512.0,49.833333333333336,42.66666666666666,0.856475300400534,0.8657594415467283,0.3858508347996907,4,0,False,1,Jojobera Tata Unit 6 Power Station,power_plant,22.7946128,86.2097801,1115.12,0.25,low,Industrial facility within 1.5 km | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_06,persistent,21.11006,72.63004,21.11,72.63,1694.0,647.0,4.371434474616293,3.32,35.99,849.0,626.0,219.0,61.458333333333336,18.25,0.2980912413699743,0.5310713163682061,0.1111328038512403,3,0,False,3,ArcelorMittal Nippon Steel India,steel_metal,21.1098624,72.6437334,1420.62,0.25,low,Industrial facility within 1.5 km | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_07,persistent,22.38007,87.28001,22.38,87.28,1474.0,706.0,2.530705563093623,2.11,13.8,378.0,460.0,636.0,34.916666666666664,53.0,1.5164207520228463,1.481253841425937,0.8386415607687244,3,0,False,0,,,,,,0.0,none,No strong industrial evidence found,OpenStreetMap via Overpass API
CASE_08,persistent,23.74009,85.00995,23.74,85.01,1534.0,655.0,2.248722294654498,1.81,15.63,425.0,618.0,491.0,43.458333333333336,40.91666666666666,0.941649129519801,1.1367706664153086,0.5038212763327388,1,0,False,1,Ashoka Coal Mine,quarry_mining,23.7255166,85.0310468,2690.28,0.15,none,Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_09,persistent,15.17929,76.66086,15.18,76.66,1261.0,631.0,2.7761379857256148,2.43,14.66,398.0,493.0,370.0,37.125,30.83333333333333,0.8309827624804119,1.0296833203900253,0.4281631040204475,14,0,False,14,Unnamed facility,industrial_facility,15.1744377,76.6596043,556.13,0.35,low,Industrial facility within 750 m | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_10,persistent,18.69005,73.03983,18.69,73.04,1289.0,605.0,2.729689681923972,2.25,11.51,433.0,460.0,396.0,37.208333333333336,33.0,0.8872012508376145,0.8469850121993733,0.3896653960735856,5,0,False,4,Unnamed facility,power_plant,18.6861449,73.0431794,559.48,0.35,low,Industrial facility within 750 m | Specific industrial facility type identified,OpenStreetMap via Overpass API
