case_id,h3_cell,relation,ring,total_detections,active_days,active_months,avg_frp,median_frp,max_frp,p95_frp,detections_2022,detections_2023,detections_2024,case_type,latitude,longitude,detections_per_active_day,frp_range
CASE_12,873c5a88dffffff,neighbor,1,145,117,12,1.3319999999999999,1.11,4.19,2.988,12,3,130,spike,27.46038,95.47127,1.2393162393162394,3.08
CASE_12,873c5a8abffffff,neighbor,1,12,12,5,1.0258333333333332,0.6100000000000001,4.02,3.0244999999999984,0,0,12,spike,27.46038,95.47127,1.0,3.4099999999999993
CASE_13,8742cea75ffffff,center,0,57,55,11,1.1543859649122807,0.92,4.42,2.884,0,6,51,spike,22.98076,72.56829,1.0363636363636364,3.5
CASE_13,8742cea62ffffff,neighbor,1,41,37,11,0.646829268292683,0.36,2.54,1.8,0,6,35,spike,22.98076,72.56829,1.1081081081081081,2.18
CASE_13,8742cea70ffffff,neighbor,1,8,8,8,1.32625,0.985,3.57,3.111499999999999,0,0,8,spike,22.98076,72.56829,1.0,2.585
CASE_13,8742cea74ffffff,neighbor,1,78,76,12,1.067820512820513,0.93,5.52,1.8444999999999998,0,5,73,spike,22.98076,72.56829,1.0263157894736843,4.59
CASE_14,873cac4cbffffff,center,0,294,199,12,1.7777551020408162,1.275,7.73,4.645999999999995,23,49,222,spike,23.81019,84.84819,1.4773869346733668,6.455
CASE_14,873caeb64ffffff,neighbor,1,259,226,12,1.182046332046332,1.06,5.37,2.0139999999999993,134,87,38,spike,23.81019,84.84819,1.1460176991150441,4.3100000000000005
CASE_14,873caeb65ffffff,neighbor,1,44,44,11,1.0475,0.94,3.37,1.5895000000000001,19,15,10,spike,23.81019,84.84819,1.0,2.43
CASE_15,873ca54a3ffffff,center,0,97,65,9,1.7167010309278352,1.22,6.46,4.877999999999999,9,29,59,spike,24.13953,82.56152,1.4923076923076923,5.24
CASE_15,873ca5485ffffff,neighbor,1,2,2,2,1.615,1.615,2.17,2.1145,0,1,1,spike,24.13953,82.56152,1.0,0.5549999999999999
CASE_15,873ca54a1ffffff,neighbor,1,954,450,12,2.096907756813417,1.73,13.76,4.703499999999999,407,470,77,spike,24.13953,82.56152,2.12,12.03
CASE_16,873c83a66ffffff,center,0,184,151,12,1.4294021739130434,1.355,2.85,2.4185,0,75,109,spike,20.75997,85.28995,1.218543046357616,1.495
CASE_16,873c83a60ffffff,neighbor,1,1,1,1,1.2,1.2,1.2,1.2,0,0,1,spike,20.75997,85.28995,1.0,0.0
CASE_16,873c83a62ffffff,neighbor,1,211,172,12,1.8914218009478672,1.59,8.09,4.68,0,47,164,spike,20.75997,85.28995,1.2267441860465116,6.5
CASE_16,873c83b59ffffff,neighbor,1,2632,712,12,2.3729065349544074,1.86,13.1,5.778999999999996,898,863,871,spike,20.75997,85.28995,3.696629213483146,11.24
CASE_17,873ca54f0ffffff,center,0,58,46,8,1.6929310344827586,1.245,5.44,3.9529999999999994,0,11,47,vegetation_comparison,24.17025,82.67995,1.2608695652173914,4.195
CASE_17,873ca54f1ffffff,neighbor,1,10,10,5,0.791,0.78,1.18,1.1395,0,8,2,vegetation_comparison,24.17025,82.67995,1.0,0.3999999999999999
CASE_17,873ca54f5ffffff,neighbor,1,3,3,2,0.7599999999999999,0.73,1.15,1.1079999999999999,0,0,3,vegetation_comparison,24.17025,82.67995,1.0,0.41999999999999993
CASE_18,876096116ffffff,center,0,48,39,7,2.04,1.3250000000000002,11.57,5.023,0,48,0,vegetation_comparison,21.27019,79.17988,1.2307692307692308,10.245000000000001
CASE_18,876096c49ffffff,neighbor,1,1,1,1,1.61,1.61,1.61,1.61,0,1,0,vegetation_comparison,21.27019,79.17988,1.0,0.0
CASE_19,873c5ac74ffffff,center,0,137,118,12,1.6033576642335765,1.28,5.14,3.333999999999999,0,86,51,vegetation_comparison,27.31923,95.26955,1.1610169491525424,3.8599999999999994
CASE_19,873c5ad5affffff,neighbor,1,210,162,12,1.2055238095238094,1.03,4.88,2.4984999999999986,0,103,107,vegetation_comparison,27.31923,95.26955,1.2962962962962963,3.8499999999999996
CASE_20,873c88575ffffff,neighbor,1,74,45,7,2.5508108108108107,1.43,13.9,8.666999999999998,0,7,67,vegetation_comparison,20.84061,86.96017,1.6444444444444444,12.47
