case_id,case_type,latitude,longitude,lat_bin,lon_bin,n,active_days,mean_frp,median_frp,max_frp,2022,2023,2024,base_monthly,cur_monthly,count_ratio,p95_ratio,spike_score,h3_cell
CASE_01,persistent,23.77988,86.38999,23.78,86.39,3821.0,813.0,2.926445956555876,2.28,18.53,1140.0,1330.0,1351.0,102.91666666666669,112.58333333333331,1.0938359488755864,1.224859576010147,0.5909719329222378,873ca9c86ffffff
CASE_02,persistent,21.92001,83.35004,21.92,83.35,2724.0,796.0,3.6162555066079296,3.08,17.39,923.0,969.0,832.0,78.83333333333333,69.33333333333333,0.8796452702702703,0.8865877100514665,0.40059244629953,873c84a90ffffff
CASE_03,persistent,20.96012,85.17001,20.96,85.17,2269.0,739.0,3.303129131776113,2.72,20.43,832.0,928.0,509.0,73.33333333333333,42.41666666666666,0.5789832047208353,0.9074394191784269,0.2949717498779184,873c817b2ffffff
CASE_04,persistent,23.17003,82.34002,23.17,82.34,1974.0,742.0,2.5618642350557246,2.08,12.98,790.0,458.0,726.0,52.0,60.5,1.163147792706334,1.2168697107783877,0.6142395140827955,873ca0402ffffff
CASE_05,persistent,22.79002,86.20011,22.79,86.2,1708.0,692.0,2.6574590163934424,2.14,17.31,622.0,574.0,512.0,49.833333333333336,42.66666666666666,0.856475300400534,0.8657594415467283,0.3858508347996907,873cabc1affffff
CASE_06,persistent,21.11006,72.63004,21.11,72.63,1694.0,647.0,4.371434474616293,3.32,35.99,849.0,626.0,219.0,61.458333333333336,18.25,0.2980912413699743,0.5310713163682061,0.1111328038512403,8742d9d2effffff
CASE_07,persistent,22.38007,87.28001,22.38,87.28,1474.0,706.0,2.530705563093623,2.11,13.8,378.0,460.0,636.0,34.916666666666664,53.0,1.5164207520228463,1.481253841425937,0.8386415607687244,873c8d8aeffffff
CASE_08,persistent,23.74009,85.00995,23.74,85.01,1534.0,655.0,2.248722294654498,1.81,15.63,425.0,618.0,491.0,43.458333333333336,40.91666666666666,0.941649129519801,1.1367706664153086,0.5038212763327388,873cac690ffffff
CASE_09,persistent,15.17929,76.66086,15.18,76.66,1261.0,631.0,2.7761379857256148,2.43,14.66,398.0,493.0,370.0,37.125,30.83333333333333,0.8309827624804119,1.0296833203900253,0.4281631040204475,8760a1b88ffffff
CASE_10,persistent,18.69005,73.03983,18.69,73.04,1289.0,605.0,2.729689681923972,2.25,11.51,433.0,460.0,396.0,37.208333333333336,33.0,0.8872012508376145,0.8469850121993733,0.3896653960735856,87608b8a6ffffff
CASE_11,spike,22.10955,83.11997,22.11,83.12,220.0,181.0,1.6845,1.505,7.08,0.0,48.0,172.0,6.857142857142857,17.2,2.4866529774127315,2.892561983471074,1.6973968733836826,873c84853ffffff
CASE_12,spike,27.46038,95.47127,27.46,95.47,65.0,52.0,0.9493846153846154,0.78,4.02,7.0,0.0,58.0,3.5,8.285714285714286,2.3293650793650795,2.988431876606684,1.6639258548143565,873c5a88cffffff
CASE_13,spike,22.98076,72.56829,22.98,72.57,76.0,71.0,1.2868421052631578,1.125,5.52,0.0,3.0,73.0,3.0,6.083333333333333,1.9946236559139785,3.403604587657017,1.6259495410262914,8742cea75ffffff
CASE_14,spike,23.81019,84.84819,23.81,84.85,223.0,187.0,1.5255156950672646,1.11,7.73,49.0,63.0,111.0,5.090909090909091,10.090909090909092,1.9632224168126096,3.1486146095717884,1.5455276309105463,873cac4cbffffff
CASE_15,spike,24.13953,82.56152,24.14,82.56,39.0,32.0,1.577179487179487,1.27,5.2,4.0,14.0,21.0,4.5,10.5,2.3043478260869565,2.4956413449564137,1.4958619187512965,873ca54a3ffffff
CASE_16,spike,20.75997,85.28995,20.76,85.29,371.0,272.0,1.6589757412398922,1.43,8.09,0.0,121.0,250.0,15.125,20.83333333333333,1.3749315818281336,3.707843137254901,1.3400352377459346,873c83a66ffffff
CASE_17,vegetation_comparison,24.17025,82.67995,24.17,82.68,439.0,238.0,2.1148291571753988,,,,,,,,,,,873ca54f0ffffff
CASE_18,vegetation_comparison,21.27019,79.17988,21.27,79.18,385.0,236.0,2.9744675324675325,,,,,,,,,,,876096116ffffff
CASE_19,vegetation_comparison,27.31923,95.26955,27.32,95.27,252.0,163.0,2.5131746031746034,,,,,,,,,,,873c5ac74ffffff
CASE_20,vegetation_comparison,20.84061,86.96017,20.84,86.96,230.0,118.0,3.656434782608696,,,,,,,,,,,873c88cdbffffff
