case_id,case_type,latitude,longitude,h3_cell,n,active_days,mean_frp,median_frp,max_frp,2022,2023,2024,base_monthly,cur_monthly,count_ratio,p95_ratio,spike_score,context_type,context_confidence,facility_name,facility_type,facility_distance_m,industrial_context_score,mining_context_score,industrial_polygon_overlap_osm,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,industrial_features_found,mining_features_found,forest_features_found,agriculture_features_found,nearest_industrial_name,nearest_industrial_type,nearest_industrial_distance_m,nearest_mining_name,nearest_mining_distance_m,vegetation_context,agriculture_context,context_evidence_osm,osm_elements,osm_source_osm,has_osm_context,specific_facility_identified,historical_data_available,geospatial_review_status
CASE_01,persistent,23.77988,86.38999,873ca9c86ffffff,3821.0,813.0,2.926445956555876,2.28,18.53,1140.0,1330.0,1351.0,102.91666666666669,112.58333333333331,1.0938359488755864,1.224859576010147,0.5909719329222378,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.25,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,4,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate
CASE_02,persistent,21.92001,83.35004,873c84a90ffffff,2724.0,796.0,3.6162555066079296,3.08,17.39,923.0,969.0,832.0,78.83333333333333,69.33333333333333,0.8796452702702703,0.8865877100514665,0.40059244629953,unknown,0.0,,,,0.25,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,3,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_03,persistent,20.96012,85.17001,873c817b2ffffff,2269.0,739.0,3.303129131776113,2.72,20.43,832.0,928.0,509.0,73.33333333333333,42.41666666666666,0.5789832047208353,0.9074394191784269,0.2949717498779184,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.25,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,3,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate
CASE_04,persistent,23.17003,82.34002,873ca0402ffffff,1974.0,742.0,2.5618642350557246,2.08,12.98,790.0,458.0,726.0,52.0,60.5,1.163147792706334,1.2168697107783877,0.6142395140827955,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.35,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,2,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate
CASE_05,persistent,22.79002,86.20011,873cabc1affffff,1708.0,692.0,2.6574590163934424,2.14,17.31,622.0,574.0,512.0,49.833333333333336,42.66666666666666,0.856475300400534,0.8657594415467283,0.3858508347996907,unknown,0.0,,,,0.25,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,4,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_06,persistent,21.11006,72.63004,8742d9d2effffff,1694.0,647.0,4.371434474616293,3.32,35.99,849.0,626.0,219.0,61.458333333333336,18.25,0.2980912413699743,0.5310713163682061,0.1111328038512403,unknown,0.0,,,,0.25,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,3,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_07,persistent,22.38007,87.28001,873c8d8aeffffff,1474.0,706.0,2.530705563093623,2.11,13.8,378.0,460.0,636.0,34.916666666666664,53.0,1.5164207520228463,1.481253841425937,0.8386415607687244,unknown,0.0,,,,0.0,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,4,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_08,persistent,23.74009,85.00995,873cac690ffffff,1534.0,655.0,2.248722294654498,1.81,15.63,425.0,618.0,491.0,43.458333333333336,40.91666666666666,0.941649129519801,1.1367706664153086,0.5038212763327388,unknown,0.0,,,,0.15,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,2,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_09,persistent,15.17929,76.66086,8760a1b88ffffff,1261.0,631.0,2.7761379857256148,2.43,14.66,398.0,493.0,370.0,37.125,30.83333333333333,0.8309827624804119,1.0296833203900253,0.4281631040204475,unknown,0.0,,,,0.35,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,14,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_10,persistent,18.69005,73.03983,87608b8a6ffffff,1289.0,605.0,2.729689681923972,2.25,11.51,433.0,460.0,396.0,37.208333333333336,33.0,0.8872012508376145,0.8469850121993733,0.3896653960735856,unknown,0.0,,,,0.35,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,6,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_11,spike,22.10955,83.11997,873c84853ffffff,220.0,181.0,1.6845,1.505,7.08,0.0,48.0,172.0,6.857142857142857,17.2,2.4866529774127315,2.892561983471074,1.6973968733836826,unknown,0.0,,,,0.15,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,1,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_12,spike,27.46038,95.47127,873c5a88cffffff,65.0,52.0,0.9493846153846154,0.78,4.02,7.0,0.0,58.0,3.5,8.285714285714286,2.3293650793650795,2.988431876606684,1.6639258548143565,unknown,0.0,,,,0.0,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,1,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_13,spike,22.98076,72.56829,8742cea75ffffff,76.0,71.0,1.2868421052631578,1.125,5.52,0.0,3.0,73.0,3.0,6.083333333333333,1.9946236559139785,3.403604587657017,1.6259495410262914,unknown,0.0,,,,0.0,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,19,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_14,spike,23.81019,84.84819,873cac4cbffffff,223.0,187.0,1.5255156950672646,1.11,7.73,49.0,63.0,111.0,5.090909090909091,10.090909090909092,1.9632224168126096,3.1486146095717884,1.5455276309105463,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.35,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,2,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate
CASE_15,spike,24.13953,82.56152,873ca54a3ffffff,39.0,32.0,1.577179487179487,1.27,5.2,4.0,14.0,21.0,4.5,10.5,2.3043478260869565,2.4956413449564137,1.4958619187512965,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.15,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,4,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate
CASE_16,spike,20.75997,85.28995,873c83a66ffffff,371.0,272.0,1.6589757412398922,1.43,8.09,0.0,121.0,250.0,15.125,20.83333333333333,1.3749315818281336,3.707843137254901,1.3400352377459346,unknown,0.0,,,,0.0,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,0,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_17,vegetation_comparison,24.17025,82.67995,873ca54f0ffffff,439.0,238.0,2.1148291571753988,,,,,,,,,,,unknown,0.0,,,,0.15,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,3,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review
CASE_18,vegetation_comparison,21.27019,79.17988,876096116ffffff,385.0,236.0,2.9744675324675325,,,,,,,,,,,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.25,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,1,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate
